,y_test,prediction
4063,1722.4246,3118.7234836602383
8263,4036.7454,2644.2468740706554
4790,4333.6922,2776.077076429129
6095,316.9208,571.9913312531435
2347,2607.2728,1765.0318640661924
3680,1007.3554,975.7304754577243
8135,1235.059,605.7512041960133
1953,731.0484,3753.7669211523935
2374,1384.1982,2119.96157592329
4508,508.6712,1996.9379682015435
6720,1268.349,1404.3034991674135
715,585.904,554.2437741555555
574,37.9506,-1174.300808786458
1913,40.6138,-1102.742777787721
2463,4274.436,3256.4474093383897
6898,1151.834,3485.1526734566323
744,2924.8594,1984.3311317226426
2605,1807.647,1977.4384367090236
51,850.8924,2114.1904840307325
5509,181.0976,765.9138432571094
140,1402.1748,2329.079752196259
1469,2863.6058,2575.434724567758
1287,282.965,823.9836873929149
147,1597.92,2432.428032483792
2557,3998.7948,3928.3331289597954
6034,1100.5674,1011.1280106595733
4976,3630.6074,2969.9687074620897
5487,1366.2216,2271.621981839309
4848,3146.5708,2842.0646582270447
7844,1704.448,1459.3791398758326
4272,2833.6448,2706.8508613120357
4226,476.047,1399.2762695907616
7471,1798.9916,2176.4727976767695
4268,718.3982,889.5003504699271
7672,474.0496,2011.3306694424095
5174,2750.4198,2216.696219321924
8162,615.1992,1009.5111058836249
3435,5069.4012,2799.7777500016164
2032,3779.0808,2548.465379278876
5103,2406.2012,2650.3754478405253
7955,3124.5994,2689.9665939905317
3155,2847.6266,3508.915546747324
39,2180.495,2622.107629808761
3370,275.6412,954.3011575188308
6949,1116.5466,1507.5977883595142
3392,1458.102,821.4134327145091
7247,1725.7536,2279.949175695594
3697,2529.3742,1502.3169065802676
6328,1310.2944,1889.108768096397
5003,4247.804,4421.735755055591
2692,129.831,285.4546226717173
7422,868.869,1563.7732138379
5780,1379.5376,2821.2442104628826
3138,1139.8496,2031.8998401449471
2285,3202.498,1974.8167245646648
6580,3803.0496,2428.66239274313
3994,2972.797,3502.7299135818585
3414,1549.3166,3137.7854632706203
175,585.2382,1080.3283506593407
2749,2996.1,3730.5206913854618
286,296.9468,420.6241479176251
6499,675.1212,873.3656619197196
6783,4649.9472,2735.750213149192
5391,1960.781,1395.4320630603293
1522,1342.2528,1473.8975015196218
2137,2163.85,1365.0602502783763
8238,4637.9628,3702.0022776754267
1771,3078.6592,2785.1860606025757
2179,1053.2956,1053.8723191660288
2069,666.4658,1568.6750961576754
5308,638.5022,1606.2513108726546
6752,882.8508,2331.3263047034684
6974,5424.9384,4126.31985582705
3656,2749.754,3054.2148701304786
3130,2147.205,2066.6294560823826
6349,3332.329,3840.7376682962504
1205,571.2564,907.6465193217259
5970,2308.9944,2886.0943616369386
969,1017.3424,2203.8614034010475
5750,2731.1116,2952.0038499786187
5358,4288.4178,3383.6720563027657
1337,146.476,-1099.3248435097341
2012,539.298,1514.4842236676704
5827,595.2252,-345.29346023756807
2321,1134.5232,1536.8355511706031
6206,154.4656,1175.7436936557124
7230,2036.6822,2747.53697334355
5978,3970.8312,2882.146187694223
7361,3151.8972,2879.5984083415606
919,451.4124,1253.5163037824796
4858,1607.2412,1649.8303687761513
4285,773.6596,1074.5716036781425
3855,4540.756,2322.1208000019433
4134,744.3644,1001.8304069263899
932,1215.7508,1821.023237490079
3025,284.9624,373.75573625168136
7814,1311.626,2092.8535117965903
3060,1203.7664,2265.260432453202
3905,569.259,712.3467040119168
397,2954.1546,2694.876060507897
3067,3103.9596,2384.4641073123757
1456,351.5424,1575.1119125614318
6441,1341.587,1647.1292931742419
3420,1845.5976,2705.9270028652318
1134,294.2836,385.04308869091824
6832,1259.6936,1609.3692083505439
8285,1604.578,2497.1204751905743
4647,2363.59,2846.099067137022
519,5344.3766,4586.392169954114
8060,143.8128,512.282525780852
2402,3756.4436,3480.4129716859625
6380,3755.112,2952.3425779664694
5872,2059.9852,1871.5636470616469
8456,487.3656,1907.6065123578176
4051,3094.6384,3224.453644850035
3259,1105.228,920.6333826817587
4213,2348.9424,3933.158425260108
1408,3078.6592,3047.1175894938197
1192,121.1756,-42.22412731854229
5250,3599.3148,3341.80531313578
1640,3306.3628,1745.604186504481
3658,5093.37,2661.3631791595053
2955,2063.98,1607.1717231750515
3480,1428.141,1943.80408172456
604,2812.3392,2766.092409099063
6708,3237.1196,2628.995350618211
6161,1607.907,1471.6394911495045
7546,4277.765,2695.284283036259
5132,639.168,1152.4039429147915
1189,1605.9096,2743.666260531867
5898,1102.5648,686.2576155696606
4031,221.7114,-665.7238349320452
5686,856.8846,1528.5741624543916
6210,4807.7418,2492.499749547087
3731,515.3292,1538.6990089520878
7157,1270.3464,1936.7968739864464
7119,253.6698,-413.4502393272385
3147,256.333,811.6032036099916
268,308.9312,718.1101300959772
6528,412.796,-574.2228888958284
3501,5145.3024,3772.620706821367
5265,2768.3964,2690.0036559253977
6364,4470.1812,3713.2614894382905
1332,1957.452,2313.391031485249
7294,1930.82,1716.8148061986483
7592,6066.7696,3776.1380894141457
4847,671.1264,1248.2998556430098
3355,1315.6208,2645.566426721677
4480,3797.7232,2569.7298599825262
3453,2561.9984,3128.0289423969316
3149,1278.336,1740.7088996897537
412,4311.055,2520.5386637971787
8070,868.869,1647.1980538489884
3579,758.3462,825.8632878845627
1037,3661.9,2138.1763279173765
1976,254.3356,100.32599021905685
1432,1655.1788,1177.3103342664
244,3225.1352,3587.0305810699338
925,4102.6596,2427.2054721772274
5368,41.2796,-1153.290919854867
1528,2220.443,1213.8543917533357
20,3775.086,3913.5296980078565
1668,1426.1436,1263.8774256728586
7871,1677.816,1909.3903483510514
8356,4026.7584,4655.881291054177
159,2471.4496,2264.3510390689944
6283,1743.0644,1956.8360589164965
8071,2376.906,1879.2446674906291
4151,1970.768,3491.362898804985
4568,6201.927,3492.948369902072
6819,4262.4516,2975.2381887323027
6184,4921.5936,3904.53912994058
1339,2380.9008,3204.2583229331167
6700,2572.6512,1684.106780594222
2987,4314.384,3271.2039222552557
2917,1941.4728,1538.3289487294282
6131,3277.0676,2244.664178034902
7353,127.8336,-725.0624680839851
8154,3207.8244,3486.1209735369175
2200,842.237,1879.4621296719365
3342,1651.184,1497.9195870821072
4969,4096.6674,3249.249672785216
442,623.1888,1787.1636360845441
6497,1025.9978,1098.3095057136525
2753,592.562,136.59859459474433
718,2358.2636,2579.1386876842034
1111,705.748,755.0933018562096
1906,4916.933,3518.631210276233
820,3195.84,2062.5780225589233
1514,3368.948,3587.520437232376
754,1221.0772,1499.0173519852292
671,1534.0032,1510.1693482737169
289,1237.7222,1620.0865685872634
33,2174.5028,1503.243077381862
567,1561.9668,1495.4977086923375
2885,1779.0176,1755.9270035181864
988,2888.2404,2652.9507010633733
5090,1895.5326,3580.299769176152
6274,3231.1274,2470.4097272185927
5453,179.766,933.5602557269003
74,5580.7356,3977.7435087537824
7549,561.2694,937.4538257532586
4320,2892.2352,2019.092535171511
1749,5626.01,3402.043505834752
7897,1880.885,926.0490210870373
2807,2862.94,2083.4096188445565
5560,2731.1116,3170.802717212424
3215,1486.7314,3297.6622206479196
2739,4364.319,2946.564586855049
3908,1304.968,1762.7088566637356
8419,942.107,2909.2349933001087
3799,1060.6194,1892.8712814368519
7298,2787.0388,1786.4338610809418
7960,639.168,1280.9245495461728
5542,751.0224,1868.4807955259594
5881,191.7504,-927.6922351708463
8181,3221.1404,2426.9570745724413
414,829.5868,1084.5259592681373
5653,3769.7596,2982.707306870072
7227,848.895,713.6945890635632
7419,2444.8176,2363.5602911157694
7199,1462.0968,1924.1398834134534
255,41.2796,-1127.974000394425
6468,282.2992,1954.622411999419
7490,607.2096,795.4321929305836
3049,4578.0408,4086.6590322636994
45,358.2004,966.8699774062038
3205,189.753,1013.9973105606309
511,2403.538,1991.6827378815983
3478,3150.5656,1981.0655370200166
5684,3463.4916,2894.466432777148
584,3817.0314,2984.245352331368
3129,3844.995,2903.7033663286993
2271,579.246,1206.9626547798762
6374,1258.362,2517.20607477239
8190,1304.968,2735.3585681236545
2357,2439.4912,3446.7237899524443
5339,892.172,1401.5326404160805
8217,2726.451,2780.01471278436
6841,601.8832,1423.632449651109
750,1842.9344,3540.235601356816
245,3755.112,3834.2687841990337
2881,4506.1344,3636.8995374368214
3791,968.739,3048.13267651588
2980,3101.2964,2877.9502537236203
8385,2678.5134,1308.7204117700198
8202,1230.3984,1773.093611740088
6266,89.2172,-1157.737354635179
4336,6040.1376,3520.669485271459
6286,2929.52,2902.353837108134
1801,2360.9268,1930.3904311338972
6097,4022.7636,3509.624615694359
2184,2406.2012,1624.7163706525753
3145,852.224,1347.4017522955214
3037,894.8352,1279.5006306862438
681,798.96,1721.3450819588925
2929,4604.6728,3645.7803134993264
3614,1488.7288,1775.0491506017793
2431,2348.9424,2514.316240029839
547,1014.6792,1782.6964663958179
3588,1733.7432,1764.9677859535075
7024,1422.1488,2417.590030233725
2632,1629.8784,1611.4249047692228
7627,1120.5414,1917.9678755877592
2582,117.8466,100.19723066163692
7087,1924.162,2893.3715679475017
4664,1691.132,1396.5842821048748
2839,4711.2008,2499.411901664098
8396,2972.1312,2154.528904681728
8479,2579.3092,1749.8819229811925
230,4769.1254,3582.795418413907
7374,2529.3742,2582.204122738175
4691,2025.3636,1649.017985727191
6561,1030.6584,2710.9525869117806
6125,5522.811,3704.341529218741
6172,873.5296,1076.4237123401572
6404,4508.1318,3045.4502689396177
2675,4579.3724,4904.933496048638
6648,1159.8236,1530.810171771749
6126,894.8352,1493.96683094198
3776,4349.0056,3082.13498417572
