,y_test,prediction
4063,1722.4246,3118.0
8263,4036.7454,2645.0
4790,4333.6922,2770.0
6095,316.9208,568.0
2347,2607.2728,1758.0
3680,1007.3554,976.0
8135,1235.059,602.0
1953,731.0484,3753.0
2374,1384.1982,2113.0
4508,508.6712,1998.0
6720,1268.349,1408.0
715,585.904,545.0
574,37.9506,-1186.0
1913,40.6138,-1117.0
2463,4274.436,3252.0
6898,1151.834,3486.0
744,2924.8594,1979.0
2605,1807.647,1975.0
51,850.8924,2119.0
5509,181.0976,760.0
140,1402.1748,2329.0
1469,2863.6058,2575.0
1287,282.965,824.0
147,1597.92,2435.0
2557,3998.7948,3924.0
6034,1100.5674,1013.0
4976,3630.6074,2970.0
5487,1366.2216,2268.0
4848,3146.5708,2837.0
7844,1704.448,1451.0
4272,2833.6448,2710.0
4226,476.047,1398.0
7471,1798.9916,2187.0
4268,718.3982,885.0
7672,474.0496,2012.0
5174,2750.4198,2210.0
8162,615.1992,1010.0
3435,5069.4012,2793.0
2032,3779.0808,2549.0
5103,2406.2012,2654.0
7955,3124.5994,2688.0
3155,2847.6266,3514.0
39,2180.495,2623.0
3370,275.6412,957.0
6949,1116.5466,1507.0
3392,1458.102,821.0
7247,1725.7536,2279.0
3697,2529.3742,1508.0
6328,1310.2944,1892.0
5003,4247.804,4424.0
2692,129.831,285.0
7422,868.869,1564.0
5780,1379.5376,2818.0
3138,1139.8496,2033.0
2285,3202.498,1977.0
6580,3803.0496,2431.0
3994,2972.797,3505.0
3414,1549.3166,3136.0
175,585.2382,1078.0
2749,2996.1,3728.0
286,296.9468,416.0
6499,675.1212,871.0
6783,4649.9472,2741.0
5391,1960.781,1391.0
1522,1342.2528,1476.0
2137,2163.85,1358.0
8238,4637.9628,3701.0
1771,3078.6592,2784.0
2179,1053.2956,1051.0
2069,666.4658,1570.0
5308,638.5022,1607.0
6752,882.8508,2328.0
6974,5424.9384,4125.0
3656,2749.754,3060.0
3130,2147.205,2060.0
6349,3332.329,3834.0
1205,571.2564,905.0
5970,2308.9944,2885.0
969,1017.3424,2211.0
5750,2731.1116,2948.0
5358,4288.4178,3384.0
1337,146.476,-1098.0
2012,539.298,1518.0
5827,595.2252,-353.0
2321,1134.5232,1539.0
6206,154.4656,1173.0
7230,2036.6822,2752.0
5978,3970.8312,2883.0
7361,3151.8972,2881.0
919,451.4124,1252.0
4858,1607.2412,1646.0
4285,773.6596,1069.0
3855,4540.756,2319.0
4134,744.3644,1002.0
932,1215.7508,1822.0
3025,284.9624,374.0
7814,1311.626,2094.0
3060,1203.7664,2263.0
3905,569.259,708.0
397,2954.1546,2697.0
3067,3103.9596,2387.0
1456,351.5424,1577.0
6441,1341.587,1646.0
3420,1845.5976,2706.0
1134,294.2836,369.0
6832,1259.6936,1608.0
8285,1604.578,2498.0
4647,2363.59,2850.0
519,5344.3766,4588.0
8060,143.8128,502.0
2402,3756.4436,3478.0
6380,3755.112,2952.0
5872,2059.9852,1873.0
8456,487.3656,1906.0
4051,3094.6384,3222.0
3259,1105.228,925.0
4213,2348.9424,3934.0
1408,3078.6592,3042.0
1192,121.1756,-51.0
5250,3599.3148,3341.0
1640,3306.3628,1742.0
3658,5093.37,2659.0
2955,2063.98,1604.0
3480,1428.141,1947.0
604,2812.3392,2769.0
6708,3237.1196,2630.0
6161,1607.907,1468.0
7546,4277.765,2693.0
5132,639.168,1153.0
1189,1605.9096,2742.0
5898,1102.5648,686.0
4031,221.7114,-678.0
5686,856.8846,1533.0
6210,4807.7418,2493.0
3731,515.3292,1539.0
7157,1270.3464,1933.0
7119,253.6698,-417.0
3147,256.333,818.0
268,308.9312,723.0
6528,412.796,-584.0
3501,5145.3024,3773.0
5265,2768.3964,2689.0
6364,4470.1812,3717.0
1332,1957.452,2315.0
7294,1930.82,1718.0
7592,6066.7696,3773.0
4847,671.1264,1247.0
3355,1315.6208,2644.0
4480,3797.7232,2575.0
3453,2561.9984,3128.0
3149,1278.336,1745.0
412,4311.055,2515.0
8070,868.869,1644.0
3579,758.3462,827.0
1037,3661.9,2138.0
1976,254.3356,89.0
1432,1655.1788,1175.0
244,3225.1352,3590.0
925,4102.6596,2424.0
5368,41.2796,-1156.0
1528,2220.443,1210.0
20,3775.086,3918.0
1668,1426.1436,1264.0
7871,1677.816,1908.0
8356,4026.7584,4662.0
159,2471.4496,2264.0
6283,1743.0644,1951.0
8071,2376.906,1876.0
4151,1970.768,3493.0
4568,6201.927,3492.0
6819,4262.4516,2970.0
6184,4921.5936,3908.0
1339,2380.9008,3206.0
6700,2572.6512,1687.0
2987,4314.384,3269.0
2917,1941.4728,1534.0
6131,3277.0676,2249.0
