,y_test,prediction
4063,1722.4246,2110.248349662017
8263,4036.7454,1387.1684484722487
4790,4333.6922,3002.6990361884777
6095,316.9208,2257.30329388702
2347,2607.2728,1989.5195588184215
3680,1007.3554,765.1739779713331
8135,1235.059,716.4900992953886
1953,731.0484,3460.029791469681
2374,1384.1982,2305.398244433766
4508,508.6712,1977.540432165901
6720,1268.349,1302.7701842355957
715,585.904,2139.7471185633967
574,37.9506,716.4900992953886
1913,40.6138,716.4900992953886
2463,4274.436,3375.8921523766435
6898,1151.834,3265.2521941444265
744,2924.8594,2117.2086845349313
2605,1807.647,2141.5185954975177
51,850.8924,2049.8532778515623
5509,181.0976,2370.785729490881
140,1402.1748,2443.771846796126
1469,2863.6058,2620.7141641277353
1287,282.965,771.9260424965298
147,1597.92,2554.178439919292
2557,3998.7948,2985.4465382987346
6034,1100.5674,796.1056674442143
4976,3630.6074,3202.6943107909096
5487,1366.2216,2353.314788181016
4848,3146.5708,3021.4296638721075
7844,1704.448,1291.7919419464542
4272,2833.6448,1574.3035396465302
4226,476.047,1379.7650441428934
7471,1798.9916,2010.991198700117
4268,718.3982,771.9260424965298
7672,474.0496,2104.4489148521784
5174,2750.4198,2376.704300283589
8162,615.1992,716.4900992953886
3435,5069.4012,3168.9624737294653
2032,3779.0808,2624.3560043891066
5103,2406.2012,1330.6980642192602
7955,3124.5994,2602.6598371940236
3155,2847.6266,3369.832159012434
39,2180.495,1316.1745888928833
3370,275.6412,716.4900992953886
6949,1116.5466,1305.9926781636088
3392,1458.102,716.4900992953886
7247,1725.7536,2301.1946237476873
3697,2529.3742,1297.8127884064822
6328,1310.2944,1688.8436667362414
5003,4247.804,3017.292283689502
2692,129.831,1918.018780348266
7422,868.869,1390.1883878307347
5780,1379.5376,2630.821621807378
3138,1139.8496,1978.753221726412
2285,3202.498,2007.7059893405387
6580,3803.0496,2522.0769171922693
3994,2972.797,2251.8394577087092
3414,1549.3166,2022.9238457950473
175,585.2382,2983.1144455000326
2749,2996.1,3297.412829807692
286,296.9468,2135.654494542123
6499,675.1212,716.4900992953886
6783,4649.9472,3222.4371636590713
